Location;Price;Bedrooms;Bathrooms;Size;Avg_Price_m3;Balcony_size
San Miguel;265000;2;3;170;1558,82;17
Los Alamos;699000;3;2;170;4111,76;17
King City;275000;2;2;119,4;2303,18;10
San Miguel;169990;3;2;146,5;1160,34;12
San Miguel;189000;3;3;153;1235,29;13
San Miguel;695000;4;2;203,2;3420,28;18
San Miguel;105000;2;2;108,8;965,07;10
San Miguel;365000;4;4;400;912,5;33
San Miguel;335900;3;3;129,6;2591,82;11
Los Alamos;170000;3;2;94,4;1800,85;7
San Miguel;339900;4;2;210;1618,57;17
San Miguel;359900;3;3;234;1538,03;23
San Miguel;143000;3;2;108;1324,07;9
San Miguel;199000;3;2;119,6;1663,88;9
San Miguel;374800;3;3;136,5;2745,79;13
Los Alamos;499000;3;2;212;2353,77;21
Arroyo Grande;138900;2;1;105,5;1316,59;9
Arroyo Grande;1999000;4;5;530,7;3766,72;53
San Miguel;359000;3;2;177,4;2023,68;14
San Miguel;294900;4;2;185,6;1588,9;15
Arroyo Grande;299500;4;2;183,6;1631,26;16
San Miguel;427900;4;3;236,7;1807,77;19
Los Alamos;269000;3;2;118,1;2277,73;11
Cambria;449000;3;3;256,3;1751,85;21
San Miguel;144900;2;2;113;1282,3;9
San Miguel;345000;3;3;202;1707,92;18
San Miguel;239000;4;2;124;1927,42;10
Los Alamos;310000;2;1;78;3974,36;7
San Miguel;225000;3;3;180;1250;18
San Miguel;695000;5;6;375;1853,33;37
Los Alamos;242500;3;3;165;1469,7;15
Arroyo Grande;249250;2;1;72,8;3423,76;7
King City;479000;3;2;146,2;3276,33;14
Los Alamos;169900;3;2;115;1477,39;11
San Miguel;219900;3;3;166;1324,7;16
San Miguel;150000;2;2;144;1041,67;13
Los Alamos;649000;4;2;181,4;3577,73;18
San Miguel;285000;4;3;210;1357,14;19
San Miguel;163999;3;2;148,8;1102,14;14
Los Alamos;349000;4;2;171,8;2031,43;15
Cambria;409900;3;2;171,6;2388,69;14
Los Alamos;275000;3;2;132;2083,33;13
San Miguel;179900;3;2;120;1499,17;12
Los Alamos;789000;3;3;221,8;3557,26;22
San Miguel;299000;4;3;176,8;1691,18;14
Arroyo Grande;850000;5;4;358,8;2369,01;29
San Miguel;295900;3;2;177,6;1666,1;17
San Miguel;199000;4;3;146,7;1356,51;13
San Miguel;199900;3;3;195;1025,13;17
San Miguel;179900;3;2;128,8;1396,74;11
Arroyo Grande;290000;3;3;173,3;1673,4;14
San Miguel;168000;3;2;112,8;1489,36;11
San Miguel;270000;3;3;190;1421,05;19
Los Alamos;1249000;6;7;510,3;2447,58;42
San Miguel;240000;3;2;125,5;1912,35;10
King City;219500;5;2;180,2;1218,09;16
San Miguel;235000;4;3;233,6;1005,99;19
San Miguel;239800;2;2;119;2015,13;9
San Miguel;269000;3;3;180;1494,44;18
San Miguel;319200;4;3;200,6;1591,23;18
San Miguel;402500;3;2;244,6;1645,54;22
San Miguel;425000;3;2;211,4;2010,41;21
Arroyo Grande;669000;3;3;260;2573,08;21
Arroyo Grande;369000;3;2;151,4;2437,25;13
San Miguel;239900;3;2;108;2221,3;10
King City;249500;2;2;108,8;2293,2;9
Templeton;557000;4;2;180,9;3079,05;16
San Miguel;339900;6;3;205,3;1655,63;17
Los Alamos;149900;2;2;96,9;1546,96;8
Arroyo Grande;849900;3;4;337,5;2518,22;30
Los Alamos;307000;3;2;159,4;1925,97;15
San Miguel;259000;4;3;190;1363,16;17
San Miguel;165000;3;2;105;1571,43;8
San Miguel;289900;3;2;141,4;2050,21;14
Los Alamos;879000;3;4;369,8;2376,96;30
San Miguel;220000;3;2;120;1833,33;12
Arroyo Grande;309000;3;3;168,5;1833,83;14
San Miguel;580000;3;3;227,1;2553,94;18
San Miguel;459900;2;2;115;3999,13;9
San Miguel;299000;5;3;248,1;1205,16;20
San Miguel;309900;4;3;160;1936,88;13
San Miguel;287000;3;2;126,9;2261,62;11
King City;310000;3;2;120;2583,33;10
Arroyo Grande;229900;3;2;119,8;1919,03;11
Cambria;377000;3;2;136,3;2765,96;12
Los Alamos;295000;4;2;197,3;1495,18;17
San Miguel;225000;3;2;151,6;1484,17;15
San Miguel;130000;3;2;108;1203,7;9
San Miguel;169990;2;1;92;1847,72;9
San Miguel;145000;3;2;102,7;1411,88;9
King City;184800;4;2;201,8;915,76;20
San Miguel;189900;3;2;125,3;1515,56;10
San Miguel;249000;3;2;106,2;2344,63;9
San Miguel;185000;4;2;193,4;956,57;16
Arroyo Grande;145000;2;2;104,1;1392,89;10
San Miguel;429000;5;3;270;1588,89;22
Arroyo Grande;419000;2;2;158,7;2640,2;14
San Miguel;245000;3;3;185,9;1317,91;15
San Miguel;289900;4;3;240;1207,92;21
San Miguel;175000;3;2;111;1576,58;10
San Miguel;139000;3;2;107,5;1293,02;8
Arroyo Grande;514900;4;3;203,5;2530,22;20
San Miguel;549000;3;2;185,8;2954,79;16
Arroyo Grande;235000;3;3;126,1;1863,6;11
Arroyo Grande;399000;6;3;262,8;1518,26;21
Los Alamos;259900;3;2;112;2320,54;11
Los Alamos;350900;3;2;168,6;2081,26;16
Los Alamos;1399900;4;4;519;2697,3;47
San Miguel;399000;3;2;184;2168,48;15
Templeton;399000;3;2;120,4;3313,95;10
Arroyo Grande;199000;2;1;97,3;2045,22;8
San Miguel;350000;3;2;162,2;2157,83;16
Los Alamos;296800;4;2;212,5;1396,71;21
San Miguel;165000;3;2;120,4;1370,43;10
San Miguel;210000;3;3;175;1200;15
San Miguel;229000;3;2;145,8;1570,64;14
San Miguel;199500;3;2;118,4;1684,97;10
San Miguel;110000;3;2;100;1100;10
San Miguel;264900;3;3;119,7;2213,03;10
Arroyo Grande;449900;3;3;213,5;2107,26;17
San Miguel;159900;3;2;111,4;1435,37;10
San Miguel;429000;4;2;187;2294,12;15
King City;265000;1;1;56,6;4681,98;5
Los Alamos;279900;2;2;113,4;2468,25;10
San Miguel;174900;3;2;110;1590;9
Los Alamos;158900;4;2;114,4;1388,99;10
San Miguel;150000;3;2;134,9;1111,93;11
Cambria;269000;3;3;128,1;2099,92;11
Arroyo Grande;489900;3;3;195,7;2503,32;16
San Miguel;256000;4;2;117,4;2180,58;11
Arroyo Grande;335000;4;3;240;1395,83;20
Los Alamos;435000;3;2;123,6;3519,42;10
San Miguel;280000;3;3;191;1465,97;15
San Miguel;409000;4;2;206,4;1981,59;20
San Miguel;409000;4;2;206,4;1981,59;18
San Miguel;399000;4;3;188,8;2113,35;15
San Miguel;389000;4;2;186,2;2089,15;18
Los Alamos;222600;3;2;110,6;2012,66;9
San Miguel;140000;3;2;120;1166,67;10
San Miguel;220000;5;3;240,8;913,62;24
Los Alamos;650000;3;3;270,3;2404,74;22
Los Alamos;405000;3;2;172,8;2343,75;17
San Miguel;409000;3;2;196;2086,73;19
San Miguel;164900;3;2;109,2;1510,07;9
San Miguel;59900;1;1;62,8;953,82;5
San Miguel;199900;3;2;127,5;1567,84;10
Arroyo Grande;95000;2;1;75,6;1256,61;6
Los Alamos;170000;2;2;88,5;1920,9;8
San Miguel;720000;4;4;353,1;2039,08;35
San Miguel;204000;3;2;171,2;1191,59;15
San Miguel;220000;3;2;110;2000;9
Cambria;498900;4;3;150;3326;15
San Miguel;229900;3;2;167,1;1375,82;15
San Miguel;531905;3;2;166,8;3188,88;13
San Miguel;114900;2;1;77,5;1482,58;7
King City;145000;3;2;120;1208,33;10
Los Alamos;191330;4;2;123,7;1546,73;10
Los Alamos;199900;4;2;133,8;1494,02;11
San Miguel;266800;4;3;210;1270,48;19
San Miguel;84900;2;2;122,2;694,76;12
San Miguel;250000;3;2;180,7;1383,51;18
San Miguel;220000;4;2;135,2;1627,22;13
Los Alamos;227900;3;2;150,3;1516,3;13
Cambria;384900;4;2;157,1;2450,03;14
San Miguel;529000;4;3;250,2;2114,31;20
San Miguel;159900;3;2;152,6;1047,84;13
Arroyo Grande;199000;3;2;100,7;1976,17;9
Los Alamos;125000;3;3;130,6;957,12;11
Cambria;91500;3;2;131,3;696,88;10
San Miguel;155000;3;2;159,3;973,01;13
San Miguel;409000;3;3;220,3;1856,56;22
Arroyo Grande;949000;5;4;520;1825;43
Arroyo Grande;90000;2;1;75,6;1190,48;6
San Miguel;300000;3;3;232,8;1288,66;21
San Miguel;179900;3;2;100,8;1784,72;10
King City;349000;3;2;134,6;2592,87;12
Los Alamos;220000;3;2;111,2;1978,42;10
San Miguel;155000;3;2;134;1156,72;12
San Miguel;390000;4;2;223,6;1744,19;22
San Miguel;425000;5;4;303,9;1398,49;27
San Miguel;249900;3;2;173,3;1442,01;14
San Miguel;239000;4;3;194,7;1227,53;16
Cambria;395000;4;3;186,8;2114,56;15
Cambria;375000;3;3;147,5;2542,37;12
Cambria;395000;4;3;186,8;2114,56;18
Cambria;395000;4;3;186,8;2114,56;18
San Miguel;230000;4;3;192,7;1193,57;17
San Miguel;189000;3;2;129,2;1462,85;11
San Miguel;304900;3;2;165,7;1840,07;13
San Miguel;169900;3;2;130;1306,92;11
San Miguel;286500;3;2;170;1685,29;15
San Miguel;325000;4;2;240;1354,17;21
King City;375000;3;2;127,8;2934,27;11
San Miguel;278000;3;2;139,6;1991,4;12
San Miguel;149000;3;2;136,8;1089,18;12
San Miguel;209000;3;2;152;1375;12
San Miguel;95000;2;2;90;1055,56;7
San Miguel;199900;3;2;140,7;1420,75;11
San Miguel;185000;3;2;117;1581,2;11
Los Alamos;449900;4;3;303,5;1482,37;25
San Miguel;310000;5;4;290;1068,97;29
San Miguel;239900;4;2;165,6;1448,67;13
San Miguel;187900;2;2;98;1917,35;9
Arroyo Grande;450000;3;2;191,6;2348,64;17
San Miguel;440000;3;3;175,6;2505,69;17
San Miguel;260000;3;2;127,8;2034,43;11
Los Alamos;40900;3;1;120,1;340,55;10
San Miguel;249000;3;2;127,5;1952,94;11
Arroyo Grande;349000;3;3;200;1745;16
San Miguel;175000;3;2;120;1458,33;10
Arroyo Grande;449970;3;2;200;2249,85;20
King City;419000;3;2;190,2;2202,94;15
Arroyo Grande;400000;3;3;156,8;2551,02;15
San Miguel;185000;3;2;125,7;1471,76;10
San Miguel;139900;2;2;110;1271,82;9
San Miguel;174900;3;2;146,1;1197,13;12
San Miguel;165360;4;2;135,3;1222,17;11
San Miguel;169000;3;2;120;1408,33;10
San Miguel;240000;3;3;203,9;1177,05;18
San Miguel;364000;4;3;215;1693,02;21
Arroyo Grande;250000;1;1;74,8;3342,25;6
San Miguel;299900;4;3;196,9;1523,11;17
San Miguel;281900;4;3;235,7;1196,01;19
King City;349900;3;1;152,2;2298,95;15
San Miguel;220000;3;2;185;1189,19;15
Templeton;774800;3;4;312,3;2480,95;26
San Miguel;135000;3;2;120;1125;10
Los Alamos;149900;3;1;100;1499;8
San Miguel;599000;3;2;208,2;2877,04;18
San Miguel;179000;3;2;120;1491,67;12
San Miguel;177000;3;2;150;1180;12
San Miguel;177000;3;2;150;1180;13
Los Alamos;122500;4;2;124,8;981,57;11
San Miguel;239500;3;2;140;1710,71;11
San Miguel;214900;3;2;108;1989,81;10
San Miguel;275000;3;2;146;1883,56;13
Arroyo Grande;425000;3;2;143,7;2957,55;13
San Miguel;274900;2;2;121,8;2256,98;10
Los Alamos;175000;2;2;115,2;1519,1;10
Los Alamos;535000;2;2;141;3794,33;14
San Miguel;540000;2;1;81,7;6609,55;8
Cambria;389000;2;2;70,3;5533,43;5
San Miguel;250000;3;2;142,5;1754,39;12
San Miguel;425000;3;2;180,7;2351,96;16
San Miguel;1195000;5;4;380;3144,74;34
Los Alamos;1350000;3;3;250,2;5395,68;22
San Miguel;78500;1;1;80;981,25;8
San Miguel;549000;3;2;223,7;2454,18;18
San Miguel;399900;4;2;186;2150;18
Arroyo Grande;699000;10;11;490,5;1425,08;44
San Miguel;129000;2;2;120;1075;12
Cambria;480000;2;2;169,8;2826,86;15
Los Alamos;189000;3;1;102,2;1849,32;8
San Miguel;639900;3;2;208;3076,44;18
San Miguel;699900;5;4;300;2333;30
King City;999000;3;3;362,1;2758,91;36
Arroyo Grande;599000;3;2;157;3815,29;14
San Miguel;365000;4;2;186;1962,37;16
Cambria;359900;3;2;184;1955,98;15
Arroyo Grande;995000;4;4;374;2660,43;37
Los Alamos;193450;4;2;121,7;1589,56;12
San Miguel;179900;3;3;152;1183,55;15
King City;329900;3;2;124;2660,48;11
Templeton;509000;3;2;193,6;2629,13;19
Arroyo Grande;995000;3;3;204,4;4867,91;17
San Miguel;545000;3;2;194,6;2800,62;16
San Miguel;795000;3;3;202,8;3920,12;20
Arroyo Grande;830000;4;3;270;3074,07;27
Arroyo Grande;54500;2;1;62,4;873,4;5
Arroyo Grande;149000;3;2;180;827,78;15
San Miguel;36000;2;2;105,6;340,91;8
San Miguel;349000;3;2;146,7;2379;13
San Miguel;299900;4;3;215;1394,88;21
Los Alamos;469000;4;2;200,4;2340,32;16
Los Alamos;1195000;2;2;104,4;11446,36;9
Templeton;419900;3;2;157,6;2664,34;15
Los Alamos;189000;2;2;153,6;1230,47;15
Los Alamos;163900;3;2;108,2;1514,79;9
Los Alamos;163900;3;2;123,7;1324,98;12
Los Alamos;648000;3;3;219,3;2954,86;19
San Miguel;130000;3;2;102,2;1272,02;10
Arroyo Grande;264900;3;2;123,2;2150,16;10
San Miguel;189900;4;2;143,5;1323,34;13
San Miguel;200000;4;2;143;1398,6;13
Arroyo Grande;1249000;3;3;248;5036,29;22
Cambria;525000;3;3;183,2;2865,72;16
Cambria;729000;3;3;195,3;3732,72;19
San Miguel;109900;3;2;110;999,09;11
San Miguel;850000;3;2;248,1;3426,04;20
San Miguel;249500;3;2;170,4;1464,2;15
Los Alamos;179900;3;2;116,1;1549,53;9
Los Alamos;149000;3;2;144;1034,72;12
King City;549000;3;2;170,1;3227,51;17
Arroyo Grande;435000;3;2;153,6;2832,03;15
Arroyo Grande;299000;3;2;131;2282,44;11
Los Alamos;625000;3;2;218,7;2857,8;19
San Miguel;399000;4;3;210;1900;21
San Miguel;186900;4;2;151,1;1236,93;12
Cambria;1290000;3;3;213;6056,34;19
Templeton;264900;2;3;140;1892,14;11
Los Alamos;198900;3;2;122,5;1623,67;12
San Miguel;318000;3;3;186,8;1702,36;15
Cambria;2000000;4;4;357,6;5592,84;29
Cambria;598000;2;3;221,9;2694,91;18
San Miguel;439900;3;3;250,8;1753,99;22
San Miguel;920000;3;3;281,7;3265,89;25
San Miguel;179900;3;2;197,2;912,27;17
Templeton;325000;2;1;95,2;3413,87;9
King City;369000;3;2;108;3416,67;9
San Miguel;312900;3;2;145,4;2151,99;14
Arroyo Grande;575000;3;3;196,1;2932,18;19
San Miguel;26500;2;2;134,4;197,17;12
San Miguel;2369000;5;6;417,4;5675,61;34
Arroyo Grande;67500;2;2;12;5625;1
San Miguel;1490000;3;3;320,1;4654,8;32
Los Alamos;652000;3;2;142,7;4569,03;14
Arroyo Grande;449000;3;3;210;2138,1;17
Los Alamos;982800;3;2;230,6;4261,93;23
San Miguel;235000;4;3;210;1119,05;19
San Miguel;579900;4;3;316,6;1831,65;28
San Miguel;250000;3;2;128;1953,13;10
King City;100000;3;1;87;1149,43;7
King City;125000;2;1;96;1302,08;8
Cambria;650000;2;2;91,9;7072,91;8
San Miguel;119900;2;2;103,4;1159,57;10
San Miguel;209900;3;2;135,6;1547,94;13
San Miguel;524900;3;2;238;2205,46;21
Arroyo Grande;349000;5;3;300;1163,33;27
Arroyo Grande;349000;5;3;300;1163,33;27
Cambria;825000;2;3;184;4483,7;16
King City;255000;3;2;118,9;2144,66;11
Los Alamos;259000;4;2;133,6;1938,62;13
San Miguel;199000;2;1;83,2;2391,83;7
San Miguel;410000;5;3;210;1952,38;21
San Miguel;199000;3;1;94;2117,02;8
San Miguel;270000;3;2;134,4;2008,93;13
Cambria;695000;2;2;143,7;4836,46;11
Cambria;2995000;5;4;368,4;8129,75;30
San Miguel;131900;1;2;30;4396,67;3
Cambria;995000;4;3;271,7;3662,13;22
San Miguel;250000;4;3;209,7;1192,18;17
Arroyo Grande;239800;5;2;157,5;1522,54;15
Arroyo Grande;425000;6;3;262,8;1617,2;23
Arroyo Grande;525000;3;2;175;3000;14
San Miguel;459900;3;2;134,6;3416,79;13
Arroyo Grande;229900;3;2;104,1;2208,45;10
San Miguel;199900;3;2;152,6;1309,96;13
Arroyo Grande;599000;4;2;172,8;3466,44;15
San Miguel;197600;4;2;137,8;1433,96;13
San Miguel;355000;2;1;114,5;3100,44;9
San Miguel;339900;3;2;132,5;2565,28;13
San Miguel;299000;3;3;185;1616,22;15
San Miguel;166800;4;2;176,5;945,04;14
King City;379000;4;2;163,1;2323,73;13
San Miguel;1395000;4;4;269,3;5180,1;22
San Miguel;150000;3;2;131,6;1139,82;10
San Miguel;475000;3;2;138,2;3437,05;11
San Miguel;265000;4;3;230;1152,17;23
Arroyo Grande;265000;3;2;161,7;1638,84;13
Los Alamos;225000;2;2;115;1956,52;10
San Miguel;249900;2;2;167,4;1492,83;16
Arroyo Grande;509000;3;2;154,3;3298,77;15
San Miguel;214900;2;2;135,1;1590,67;11
Arroyo Grande;5499000;4;5;506;10867,59;50
San Miguel;349900;3;2;200;1749,5;18
Templeton;125000;2;2;153,6;813,8;15
Cambria;549000;2;2;92,4;5941,56;8
Cambria;865000;3;3;186;4650,54;15
Cambria;1600000;3;3;264;6060,61;22
Los Alamos;1065000;4;4;339,5;3136,97;28
Templeton;625000;3;2;185;3378,38;15
San Miguel;249999;3;2;100;2499,99;8
Arroyo Grande;975000;4;3;272;3584,56;24
Los Alamos;204900;2;1;99,2;2065,52;9
Arroyo Grande;355000;3;2;173,7;2043,75;14
San Miguel;134900;3;3;143,5;940,07;14
San Miguel;199900;5;3;167,1;1196,29;16
San Miguel;349900;4;3;280;1249,64;23
San Miguel;99000;2;2;90;1100;7
King City;409000;4;3;250,7;1631,43;20
San Miguel;339000;2;2;144;2354,17;14
San Miguel;595000;3;3;223,8;2658,62;20
San Miguel;849500;3;3;272,5;3117,43;24
San Miguel;399000;2;3;177,2;2251,69;17
San Miguel;399000;4;2;194,7;2049,31;16
Templeton;525000;3;2;172;3052,33;17
San Miguel;319900;3;3;160,5;1993,15;16
San Miguel;495000;3;2;187,7;2637,19;15
San Miguel;372000;3;2;110,4;3369,57;11
Arroyo Grande;589000;3;2;197,5;2982,28;16
Cambria;1100000;3;3;239,2;4598,66;21
